0.000000e+00,	0.000000e+00,	2.243887e+00,	
1.850000e-01,	-1.270593e-02,	2.482274e+00,	
3.700000e-01,	9.795704e-02,	3.272189e+00,	
5.550000e-01,	-4.070689e-02,	3.536002e+00,	
7.400000e-01,	-5.687150e-01,	2.878095e+00,	
9.250000e-01,	-1.227890e+00,	2.120870e+00,	
1.110000e+00,	-1.643937e+00,	2.136822e+00,	
1.295000e+00,	-1.762445e+00,	2.988155e+00,	
1.480000e+00,	-1.932074e+00,	3.819510e+00,	
1.665000e+00,	-2.339574e+00,	3.908415e+00,	
1.850000e+00,	-2.954509e+00,	3.276570e+00,	
2.035000e+00,	-3.539128e+00,	2.626141e+00,	
2.220000e+00,	-3.875728e+00,	2.687498e+00,	
2.405000e+00,	-3.788401e+00,	3.732602e+00,	
2.590000e+00,	-3.475129e+00,	4.822390e+00,	
2.775000e+00,	-2.979571e+00,	5.228297e+00,	
2.960000e+00,	-2.139201e+00,	4.734040e+00,	
3.145000e+00,	-1.309771e+00,	3.499973e+00,	
3.330000e+00,	-7.256979e-01,	1.707666e+00,	
3.515000e+00,	-2.119033e-01,	4.388327e-01,	
3.700000e+00,	-1.352542e-17,	2.439455e-18,	
