0.000000e+00,	0.000000e+00,	3.046017e+00,	
1.850000e-01,	1.801623e-01,	3.408134e+00,	
3.700000e-01,	4.911348e-01,	3.854522e+00,	
5.550000e-01,	6.305723e-01,	3.641495e+00,	
7.400000e-01,	5.429060e-01,	2.770530e+00,	
9.250000e-01,	4.892581e-01,	2.144763e+00,	
1.110000e+00,	6.891940e-01,	2.332376e+00,	
1.295000e+00,	9.859018e-01,	3.053525e+00,	
1.480000e+00,	9.299493e-01,	3.181982e+00,	
1.665000e+00,	5.292559e-01,	2.647200e+00,	
1.850000e+00,	3.206917e-02,	2.224073e+00,	
2.035000e+00,	-3.222456e-01,	2.475680e+00,	
2.220000e+00,	-5.098173e-01,	3.358519e+00,	
2.405000e+00,	-5.348992e-01,	4.397572e+00,	
2.590000e+00,	-4.729985e-01,	4.913313e+00,	
2.775000e+00,	-3.227058e-01,	4.752858e+00,	
2.960000e+00,	-2.190374e-01,	3.899336e+00,	
3.145000e+00,	-3.730513e-01,	2.330447e+00,	
3.330000e+00,	-4.232655e-01,	1.160658e+00,	
3.515000e+00,	-1.819673e-01,	3.804232e-01,	
3.700000e+00,	3.038477e-17,	2.997819e-17,	
